PLAYER,SALARY,CAD_SALARY,BORN,AGE,TEAM,Number,Position,Handed,Years_EXP,Height,Weight,Games_Played,Goals,Assists,Points,Penalty_Min,PLUSMINUS,PP_Goals,SH_Goals,GW_Goals,SOG,Shot_PCT
"TREPANIER, PASCAL",375000,0,CAN QUE,25,ANA,27,D,R,1,72,205,45,2,4,6,48,0,0,0,1,49,4.099999994
"TRNKA, PAVEL",450000,0,CZECH,23,ANA,7,D,L,1,75,200,63,0,4,4,60,-6,0,0,0,50,0
"TSYPLAKOV, VLADIMIR",632500,0,USSR,30,LA,9,L,L,3,74,200,69,11,12,23,32,-7,0,2,2,111,9.8999999762
"TUCKER, DARCY",750000,0,CAN ALB,24,TB,16,C,L,3,70,175,82,21,22,43,176,-34,8,2,3,178,11.7999999821
"TURCOTTE, DARREN",850000,0,USA MA,31,NAS,9,C,L,10,72,178,40,4,5,9,16,-11,0,0,1,73,5.5
"TURGEON, PIERRE",-999,0,CAN QUE,30,STL,77,C,L,11,73,195,67,31,34,65,36,4,10,0,5,193,16.0999999642
"TVERDOVSKY, OLEG",1700000,0,USSR,23,PHO,10,D,L,4,72,190,82,7,18,25,32,11,2,0,2,117,6
"TWIST, TONY",-999,0,CAN ALB,31,STL,18,L,L,9,72,230,63,2,6,8,149,0,0,0,0,23,8.6999999881
"ULANOV, IGOR",1000000,0,USSR,29,MON,55,D,L,7,73,205,76,3,9,12,109,-3,0,0,0,55,5.5
"VALICEVIC, ROB",350000,0,USA MI,28,NAS,12,C,R,0,74,197,19,4,2,6,2,4,0,0,2,23,17.3999999762
"VALK, GARRY",610918,0,CAN ALB,31,TOR,10,C,L,8,73,205,77,8,21,29,53,8,1,0,0,93,8.599999994
"VAN ALLEN, SHAUN",500000,0,CAN ALB,32,OTT,22,C,L,7,73,200,79,6,11,17,30,3,0,1,0,47,12.7999999821
"VAN IMPE, DARREN",750000,0,CAN SAS,26,BOS,20,D,L,4,72,205,60,5,15,20,66,-5,4,0,0,92,5.3999999911
"VANDENBUSSCHE, RYAN",450000,0,CAN ONT,26,CHI,19,R,R,2,71,187,6,0,0,0,17,0,0,0,0,3,0
"VARADA, VACLAV",600000,0,CZECH,23,BUF,25,R,L,3,72,200,72,7,24,31,61,11,1,0,1,123,5.6999999881
"VASILJEV, HERBERT",400000,0,USSR,23,FLA,37,C,R,0,71,170,5,0,0,0,2,-1,0,0,0,6,0
"VASILYEV, ANDREY",-999,0,USSR,27,PHO,44,L,R,3,69,180,1,0,0,0,0,-2,0,0,0,0,0
"VASKE, DENNIS",-999,0,USA IL,31,BOS,29,D,L,8,74,215,3,0,0,0,6,-3,0,0,0,0,0
"VERBEEK, PAT",-999,0,CAN ONT,35,DAL,16,R,R,16,69,190,78,17,17,34,133,11,8,0,2,134,12.6999999881
"VIRTUE, TERRY",450000,0,CAN ONT,29,BOS,71,D,R,0,72,200,4,0,0,0,0,2,0,0,0,2,0
"VISHEAU, MARK",-999,0,CAN ONT,26,LA,48,D,R,1,76,201,28,1,3,4,107,-7,0,0,0,10,10
"VOPAT, JAN",425000,0,CZECH,26,NAS,5,D,L,3,72,207,55,5,6,11,28,0,0,0,0,46,10.8999999762
"VOPAT, ROMAN",480000,0,CZECH,23,PHI,29,C,L,3,74,221,54,0,3,3,90,-7,0,0,0,27,0
"VOROBIEV, VLADIMIR",-999,0,USSR,26,EDM,34,R,R,2,71,205,2,2,0,2,2,1,0,0,0,5,40
"WALKER, SCOTT",475000,0,CAN QUE,26,NAS,24,R,R,4,69,189,71,15,25,40,103,0,0,1,2,96,15.599999994
